datetime,dL_J,dL_X,lambda_dL_T,sigma_J_dL_J
2023-01-02 05:00:00+00:00,1.2181125712378504,0.924498932134022,-0.001209152263903857,0.925708084397926
2023-01-02 06:00:00+00:00,1.05095864463303,0.801196005031286,0.0025170186416803813,0.7986789863896057
2023-01-02 07:00:00+00:00,-0.55290054095376,-0.419741205303089,0.00043712034111985723,-0.42017832564420887
2023-01-02 08:00:00+00:00,0.7945309238119638,0.600157926461351,-0.003648090193961694,0.6038060166553127
2023-01-02 09:00:00+00:00,0.9435143477769835,0.718997377627487,0.001970987697845023,0.7170263899296421
2023-01-02 10:00:00+00:00,0.7008796988470785,0.532861387495569,0.00022588341091689054,0.5326355040846521
2023-01-02 11:00:00+00:00,0.8403028685797003,0.639525954121535,0.0009354189327250032,0.63859053518881
2023-01-02 12:00:00+00:00,0.4786145264844948,0.364162823158106,0.0004383637456679456,0.36372445941243803
2023-01-02 13:00:00+00:00,0.4314093195392085,0.328709337435068,0.0008586081907065751,0.3278507292443614
2023-01-02 14:00:00+00:00,0.23039264923030514,0.176273504052729,0.0011859604100122683,0.17508754364271675
2023-01-02 15:00:00+00:00,0.29248131215417356,0.223496714583811,0.0012247164208725003,0.22227199816293852
2023-01-02 16:00:00+00:00,-0.07313370567620536,-0.0570902758172034,-0.0015121099029937303,-0.05557816591420966
2023-01-02 17:00:00+00:00,0.9020384185398633,0.685723015742195,0.00021637522594382204,0.6855066405162511
2023-01-02 18:00:00+00:00,0.6268446668832156,0.475956024246688,-0.00041634846911097503,0.47637237271579896
2023-01-02 19:00:00+00:00,0.6121551485620578,0.463844654953917,-0.0013643768795292943,0.46520903183344625
2023-01-02 20:00:00+00:00,0.42509926660976927,0.322200500680752,-0.0008548860413458341,0.3230553867220978
2023-01-02 21:00:00+00:00,0.25983558117148003,0.197606048429349,0.00014326560933164824,0.19746278282001734
2023-01-02 22:00:00+00:00,0.5436038804245978,0.413321575056764,0.00020827280444329796,0.4131133022523207
2023-01-02 23:00:00+00:00,1.197101377122174,0.910655374416882,0.0009148062526737827,0.9097405681642082
2023-01-03 00:00:00+00:00,-1.5115376923346417,-1.15130063763964,-0.0026033048106658165,-1.1486973328289742
2023-01-03 01:00:00+00:00,0.30847691170108604,0.2347338755714,0.0003059764145808201,0.23442789915681916
2023-01-03 02:00:00+00:00,0.4139633018615619,0.314058525835759,-0.0005340530651288121,0.3145925789008878
2023-01-03 03:00:00+00:00,0.20262821026353536,0.153088055765936,-0.0008998241698432362,0.15398787993577925
2023-01-03 04:00:00+00:00,-0.06475338489423703,-0.0494999329089136,-0.00029041541102609183,-0.04920951749788752
2023-01-03 05:00:00+00:00,0.3116516744469605,0.237341420906713,0.0005008518462290236,0.236840569060484
2023-01-03 06:00:00+00:00,0.05624548893380505,0.0423706877460095,-0.0003732302188357609,0.042743917964845266
2023-01-03 07:00:00+00:00,-0.3434432760703061,-0.261984367448436,-0.0009836810608788314,-0.2610006863875572
2023-01-03 08:00:00+00:00,0.9026909992813305,0.685873053175534,-0.000129517915905617,0.6860025710914397
2023-01-03 09:00:00+00:00,0.8692424998236863,0.659128188498926,-0.0014551010827140215,0.66058328958164
2023-01-03 10:00:00+00:00,0.8604135308441171,0.653317612793035,-0.0005560769090305099,0.6538736897020655
