datetime,y,jump_component,y_minus_jump,y_dejumped_interp,is_jump_pos,is_jump_neg,is_jump
2025-04-22 12:00:00+00:00,0.0387320504339481,0.0,0.0387320504339481,0.0387320504339481,0,0,0
2025-04-22 13:00:00+00:00,0.0392413732801895,0.0,0.0392413732801895,0.0392413732801895,0,0,0
2025-04-22 14:00:00+00:00,0.0337667667710661,0.0,0.0337667667710661,0.0337667667710661,0,0,0
2025-04-22 15:00:00+00:00,0.0286189559306588,0.0,0.0286189559306588,0.0286189559306588,0,0,0
2025-04-22 16:00:00+00:00,0.0272802084146182,0.0,0.0272802084146182,0.0272802084146182,0,0,0
2025-04-22 17:00:00+00:00,0.0619131809987427,0.0,0.0619131809987427,0.0619131809987427,0,0,0
2025-04-22 18:00:00+00:00,0.1169909377767632,0.016716031122747235,0.10027490665401596,0.05638561238801815,1,0,1
2025-04-22 19:00:00+00:00,0.0508580437772936,0.0,0.0508580437772936,0.0508580437772936,0,0,0
2025-04-22 20:00:00+00:00,0.0325259988305912,0.0,0.0325259988305912,0.0325259988305912,0,0,0
2025-04-22 21:00:00+00:00,0.0312533264220293,0.0,0.0312533264220293,0.0312533264220293,0,0,0
2025-04-22 22:00:00+00:00,0.0322905339108974,0.0,0.0322905339108974,0.0322905339108974,0,0,0
2025-04-22 23:00:00+00:00,0.0309021380263168,0.0,0.0309021380263168,0.0309021380263168,0,0,0
2025-04-23 00:00:00+00:00,0.0275516281511176,0.0,0.0275516281511176,0.0275516281511176,0,0,0
2025-04-23 01:00:00+00:00,0.0279146546958646,0.0,0.0279146546958646,0.0279146546958646,0,0,0
2025-04-23 02:00:00+00:00,0.0304255851172268,0.0,0.0304255851172268,0.0304255851172268,0,0,0
2025-04-23 03:00:00+00:00,0.0293304672452459,0.0,0.0293304672452459,0.0293304672452459,0,0,0
2025-04-23 04:00:00+00:00,0.0342876295647167,0.0,0.0342876295647167,0.0342876295647167,0,0,0
2025-04-23 05:00:00+00:00,0.0296381712339837,0.0,0.0296381712339837,0.0296381712339837,0,0,0
2025-04-23 06:00:00+00:00,0.0185085086358132,0.0,0.0185085086358132,0.0185085086358132,0,0,0
2025-04-23 07:00:00+00:00,0.0141280250970909,0.0,0.0141280250970909,0.0141280250970909,0,0,0
2025-04-23 08:00:00+00:00,0.0250330707162529,0.0,0.0250330707162529,0.0250330707162529,0,0,0
2025-04-23 09:00:00+00:00,0.0397789355872966,0.0,0.0397789355872966,0.0397789355872966,0,0,0
