,temp_raw,temp_seas,temp_resid
2026-02-07 01:00:00+00:00,0.6,0.9488607989766524,-0.3488607751347945
2026-02-07 02:00:00+00:00,0.55,0.8617573762128263,-0.3117573642918974
2026-02-07 03:00:00+00:00,0.55,0.7276701531191847,-0.17767014119825575
2026-02-07 04:00:00+00:00,0.5,0.5774516134626579,-0.07745161346265794
2026-02-07 05:00:00+00:00,0.45,0.4939886783348142,-0.043988690255743146
2026-02-07 06:00:00+00:00,0.35,0.5875495938348803,-0.23754959979534473
2026-02-07 07:00:00+00:00,0.5,0.9483015419075531,-0.4483015419075531
2026-02-07 08:00:00+00:00,0.8,1.5970105872651668,-0.7970105753442378
2026-02-07 09:00:00+00:00,1.3,2.459024036753528,-1.159024084437244
2026-02-07 10:00:00+00:00,1.9,3.377215088079846,-1.477215111921704
2026-02-07 11:00:00+00:00,2.45,4.161074593764447,-1.7110745460807308
2026-02-07 12:00:00+00:00,2.45,4.651266178791685,-2.2012661311079693
2026-02-07 13:00:00+00:00,2.9,4.771299063748833,-1.8712989683814012
2026-02-07 14:00:00+00:00,2.85,4.544601695350379,-1.6946017907178108
2026-02-07 15:00:00+00:00,2.5,4.072510351704436,-1.5725103517044356
2026-02-07 16:00:00+00:00,1.7,3.4871809511428795,-1.7871809034591637
2026-02-07 17:00:00+00:00,1.25,2.9034790014032597,-1.6534790014032597
2026-02-07 18:00:00+00:00,1.1,2.390812425060137,-1.290812401218279
2026-02-07 19:00:00+00:00,1.05,1.9723999473085028,-0.9223999949922186
2026-02-07 20:00:00+00:00,0.9,1.643939903269834,-0.743939927111692
2026-02-07 21:00:00+00:00,0.8,1.394959937654501,-0.594959925733572
2026-02-07 22:00:00+00:00,0.7,1.218601977922578,-0.518601989843507
2026-02-07 23:00:00+00:00,0.6,1.1066489570569134,-0.5066489332150554
2026-02-08 00:00:00+00:00,0.7,1.0385823744343619,-0.3385823863552908
2026-02-08 01:00:00+00:00,0.55,0.9784613558824895,-0.42846134396156055
2026-02-08 02:00:00+00:00,0.4,0.888133230433801,-0.4881332244733365
2026-02-08 03:00:00+00:00,0.35,0.753056760007996,-0.4030567659684605
2026-02-08 04:00:00+00:00,0.3,0.605780225276122,-0.305780213355193
2026-02-08 05:00:00+00:00,0.15,0.529540521037807,-0.37954051507734254
2026-02-08 06:00:00+00:00,0.0,0.6331524312882748,-0.6331524312882748
2026-02-08 07:00:00+00:00,-0.05,1.0040724495218345,-1.0540724502668926
2026-02-08 08:00:00+00:00,0.0,1.6603825159986627,-1.6603825159986627
2026-02-08 09:00:00+00:00,0.15,2.5260875143588337,-2.3760875083983692
2026-02-08 10:00:00+00:00,0.4,3.444663861188937,-3.0446638552284724
2026-02-08 11:00:00+00:00,0.65,4.2276955402302185,-3.5776955640720765
2026-02-08 12:00:00+00:00,0.6,4.718165364200572,-4.118165340358714
2026-02-08 13:00:00+00:00,0.8,4.840767380506364,-4.040767368585435
2026-02-08 14:00:00+00:00,1.0,4.618288796529977,-3.618288796529977
2026-02-08 15:00:00+00:00,1.05,4.149956863500338,-3.099956911184054
2026-02-08 16:00:00+00:00,0.65,3.5655405916211107,-2.9155406154629686
2026-02-08 17:00:00+00:00,0.4,2.9785750346626347,-2.5785750287021703
2026-02-08 18:00:00+00:00,0.2,2.4589167962255187,-2.2589167932452865
2026-02-08 19:00:00+00:00,0.0,2.0317340941262,-2.0317340941262
2026-02-08 20:00:00+00:00,-0.25,1.6950916428929337,-1.9450916428929337
2026-02-08 21:00:00+00:00,-0.4,1.4400662666649384,-1.840066272625403
2026-02-08 22:00:00+00:00,-0.4,1.2598713674915518,-1.6598713734520163
2026-02-08 23:00:00+00:00,-0.45,1.1451616449201645,-1.5951616329992355
2026-02-09 00:00:00+00:00,-0.35,1.0741020431819341,-1.4241020372214697
2026-02-09 01:00:00+00:00,-0.4,1.010344602598942,-1.4103446085594065
2026-02-09 02:00:00+00:00,-0.5,0.9167251073380278,-1.4167251073380278
2026-02-09 03:00:00+00:00,-0.6,0.7806329695621841,-1.380632993404042
2026-02-09 04:00:00+00:00,-0.7,0.6363414567680499,-1.336341444847121
2026-02-09 05:00:00+00:00,-0.7,0.5674434387977407,-1.2674434268768118
2026-02-09 06:00:00+00:00,-0.65,0.6812754653304816,-1.3312754414886236
2026-02-09 07:00:00+00:00,-0.65,1.0625366581508253,-1.7125366343089674
2026-02-09 08:00:00+00:00,-0.5,1.7265774200655275,-2.2265774200655275
2026-02-09 09:00:00+00:00,0.0,2.5960342612348892,-2.5960342612348892
2026-02-09 10:00:00+00:00,0.6,3.5149934165579544,-2.9149933927160965
2026-02-09 11:00:00+00:00,1.0,4.297165107635457,-3.2971651076354567
2026-02-09 12:00:00+00:00,0.8,4.787891285323406,-3.987891273402477
2026-02-09 13:00:00+00:00,1.2,4.913075364404919,-3.713075316721203
2026-02-09 14:00:00+00:00,1.55,4.694859856556729,-3.1448599042404446
2026-02-09 15:00:00+00:00,1.45,4.230335157931373,-2.7803351102476572
2026-02-09 16:00:00+00:00,0.9,3.6468482587802233,-2.7468482826220812
2026-02-09 17:00:00+00:00,0.7,3.0565816678945064,-2.3565816798154353
2026-02-09 18:00:00+00:00,0.55,2.5298434456535794,-1.9798434337326505
2026-02-09 19:00:00+00:00,0.45,2.09377599754162,-1.6437760094625489
2026-02-09 20:00:00+00:00,0.25,1.7488418173242293,-1.4988418173242293
2026-02-09 21:00:00+00:00,0.15,1.4876871884835297,-1.3376871825230652
2026-02-09 22:00:00+00:00,0.05,1.303596603905667,-1.253596603160609
2026-02-09 23:00:00+00:00,-0.05,1.1860798055271247,-1.2360798062721827
2026-02-10 00:00:00+00:00,-0.05,1.1119672820016464,-1.1619672827467045
2026-02-10 01:00:00+00:00,-0.05,1.0445011485295055,-1.0945011492745635
