,price_raw,price_seas,price_resid
2026-01-03 00:00:00+00:00,6.985549306422158,6.993230659673987,-0.0076813532518293925
2026-01-03 01:00:00+00:00,6.9828256450291155,6.991337364097891,-0.00851171906877557
2026-01-03 02:00:00+00:00,6.981461027397593,6.989362909801813,-0.007901882404220295
2026-01-03 03:00:00+00:00,6.978381482522433,6.989056317236846,-0.010674834714412995
2026-01-03 04:00:00+00:00,6.979098719050272,6.989716321260148,-0.01061760220987562
2026-01-03 05:00:00+00:00,6.977794269762112,6.991876487628138,-0.014082217866026703
2026-01-03 06:00:00+00:00,6.983382097105129,6.9991466486193366,-0.015764551514207525
2026-01-03 07:00:00+00:00,6.991958550264211,7.007101330610686,-0.015142780346474538
2026-01-03 08:00:00+00:00,6.998829225881509,7.009233565951766,-0.01040434007025759
2026-01-03 09:00:00+00:00,7.002101357826813,7.004998412433207,-0.0028970546063940006
2026-01-03 10:00:00+00:00,6.995720367710781,7.000770295734709,-0.0050499280239275635
2026-01-03 11:00:00+00:00,6.991958550264211,6.997850985793794,-0.005892435529582407
2026-01-03 12:00:00+00:00,6.99011836940726,6.995174210003434,-0.005055840596173589
2026-01-03 13:00:00+00:00,6.989436643324182,6.998383272370693,-0.008946629046510779
2026-01-03 14:00:00+00:00,6.993932975223189,7.005859786316945,-0.011926811093755596
2026-01-03 15:00:00+00:00,6.998308708822823,7.014436742605816,-0.016128033782992546
2026-01-03 16:00:00+00:00,7.008459973103769,7.023755383766834,-0.015295410663064501
2026-01-03 17:00:00+00:00,7.014634640609233,7.026274347402453,-0.011639706793220128
2026-01-03 18:00:00+00:00,7.0130247904992125,7.020907371776944,-0.007882581277731227
2026-01-03 19:00:00+00:00,7.002410699023519,7.013647241074339,-0.011236542050819587
2026-01-03 20:00:00+00:00,6.9992308433098005,7.007124220122561,-0.0078933768127607
2026-01-03 21:00:00+00:00,6.997632545384811,7.00509921461923,-0.007466669234418966
2026-01-03 22:00:00+00:00,6.9952532042546185,6.99868820148465,-0.003434997230031378
2026-01-03 23:00:00+00:00,6.997605123707975,6.997555875244148,4.924846382703407e-05
2026-01-04 00:00:00+00:00,6.991839041353761,6.996745965004329,-0.004906923650567663
2026-01-04 01:00:00+00:00,6.991296475186463,6.994259108272834,-0.0029626330863710137
2026-01-04 02:00:00+00:00,6.98896653440696,6.991033573267174,-0.0020670388602139766
2026-01-04 03:00:00+00:00,6.9871208343628775,6.990045117271523,-0.002924282908645104
2026-01-04 04:00:00+00:00,6.9870376977092645,6.9907375349922285,-0.003699837282963969
2026-01-04 05:00:00+00:00,6.987222436443036,6.9909955642178225,-0.0037731277747861114
2026-01-04 06:00:00+00:00,6.9888374462303355,6.995687975315637,-0.006850529085301815
2026-01-04 07:00:00+00:00,6.990726003519753,7.002043243296092,-0.01131723977633925
2026-01-04 08:00:00+00:00,6.99761426435047,7.004848433483432,-0.007234169132962265
2026-01-04 09:00:00+00:00,7.006640877534057,7.002388372485182,0.004252505048874866
2026-01-04 10:00:00+00:00,6.997458862063915,7.001444142009216,-0.003985279945300846
2026-01-04 11:00:00+00:00,6.995124925119044,6.99874562821152,-0.00362070309247553
2026-01-04 12:00:00+00:00,6.990440645600745,6.994418524571827,-0.0039778789710824825
2026-01-04 13:00:00+00:00,6.987951820976414,6.99689083180366,-0.008939010827246463
2026-01-04 14:00:00+00:00,6.9881456185324025,7.003130779376817,-0.01498516084441448
2026-01-04 15:00:00+00:00,6.991737907272868,7.010436165722919,-0.01869825845005124
2026-01-04 16:00:00+00:00,7.015703443786257,7.021346806934725,-0.005643363148467806
2026-01-04 17:00:00+00:00,7.02197642307216,7.025260369327788,-0.003283946255628223
2026-01-04 18:00:00+00:00,7.024204091625384,7.0189162131277945,0.005287878497589382
2026-01-04 19:00:00+00:00,7.022244005466835,7.0109993113922,0.011244694074634687
2026-01-04 20:00:00+00:00,7.009291491304987,7.00474932690382,0.00454216440116717
2026-01-04 21:00:00+00:00,7.0012820512784195,7.003265034326701,-0.0019829830482818167
2026-01-04 22:00:00+00:00,7.00089036771729,6.993919855777552,0.006970511939737634
2026-01-04 23:00:00+00:00,7.010140372458424,6.991244179899233,0.018896192559190617
2026-01-05 00:00:00+00:00,6.996644890983539,7.002940082635534,-0.006295191651994436
2026-01-05 01:00:00+00:00,6.991370060734295,7.000419203931389,-0.009049143197094267
2026-01-05 02:00:00+00:00,6.990587937275349,6.9969937523260315,-0.006405815050682051
2026-01-05 03:00:00+00:00,6.990486676579602,6.998299609954483,-0.00781293337488087
2026-01-05 04:00:00+00:00,6.991599980677184,7.005953255651875,-0.014353274974690855
2026-01-05 05:00:00+00:00,6.991526412046815,7.025746240405878,-0.03421982835906334
2026-01-05 06:00:00+00:00,7.0161252616479715,7.047505090744121,-0.031379829096149336
2026-01-05 07:00:00+00:00,7.043465546134583,7.063530449992383,-0.0200649038577998
2026-01-05 08:00:00+00:00,7.0587495540294185,7.05604519561499,0.0027043584144283983
2026-01-05 09:00:00+00:00,7.058293728267372,7.0469432475065314,0.01135048076084022
2026-01-05 10:00:00+00:00,7.038695818242733,7.0409127488349155,-0.002216930592182642
2026-01-05 11:00:00+00:00,7.033859155777863,7.035798428042137,-0.0019392722642734839
2026-01-05 12:00:00+00:00,7.031379002343473,7.03461701726806,-0.0032380149245865297
2026-01-05 13:00:00+00:00,7.0283787213058755,7.038290702846867,-0.009911981540991377
2026-01-05 14:00:00+00:00,7.032703693001182,7.047162874930898,-0.014459181929715292
2026-01-05 15:00:00+00:00,7.060364771790566,7.055355905846391,0.005008865944175156
